"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"VWF_P04275","P04275","VWF",21.5403379884408,1.00573466593507,1.22482571924708e-08,3.29478118477464e-06,3.29478118477464e-06,19,40
"FCGBP_Q9Y6R7","Q9Y6R7","FCGBP",20.3635116949037,1.74146271174716,4.45853926854696e-08,1.19488852397059e-05,5.99673531619566e-06,19,40
"KLKB1_P03952","P03952","KLKB1",24.1780646169926,-0.735129139898946,4.66930862948934e-07,0.000124670540407365,4.18681340444211e-05,19,40
"CETP_P11597","P11597","CETP",20.4313849109883,-1.15360794413391,7.11456360755277e-07,0.000189247391960904,4.78454402607924e-05,19,40
"SERPINA3_P01011","P01011","SERPINA3",28.3130344293302,0.945309667199896,2.28909169625429e-06,0.000606609299507387,0.000123153133258481,19,40
"SPP2_Q13103","Q13103","SPP2",20.4881000310277,-1.6143940008586,7.47849159476835e-06,0.00197432178101884,0.000335285706498781,17,40
"IGF2R_P11717","P11717","IGF2R",22.9432166755081,0.456985729736965,9.90637082783035e-06,0.00260537552771938,0.000380687678955195,19,37
"PGLYRP2_Q96PD5","Q96PD5","PGLYRP2",23.9781533824914,-0.791606959236637,1.41048889265171e-05,0.00369548089874748,0.00039701395583891,19,40
"SERPINA5_P05154","P05154","SERPINA5",21.7927541163355,-1.00366197191324,1.47295665344759e-05,0.00384441686549822,0.00039701395583891,19,40
"VCAM1_P19320","P19320","VCAM1",19.5041120172064,0.698147801526165,1.47588831166881e-05,0.00384441686549822,0.00039701395583891,19,40
"SERPINA6_P08185","P08185","SERPINA6",24.2663149243153,-0.403378929131703,1.8743420308853e-05,0.00485454585999293,0.000453413566119828,19,40
"SERPIND1_P05546","P05546","SERPIND1",25.838392833088,-0.624817065500083,2.22687671447002e-05,0.00574534192333265,0.000453413566119828,19,40
"ECM1_Q16610;Q16610-4","Q16610;Q16610-4","ECM1",21.2487657007233,-0.703359944341239,2.43222292716526e-05,0.00625081292281471,0.000453413566119828,19,40
"MMRN1_Q13201","Q13201","MMRN1",18.8477586105407,-1.17290899376984,2.47424597103655e-05,0.00633406968585358,0.000453413566119828,18,39
"GC_P02774;P02774-3","P02774;P02774-3","GC",26.7983425512011,-0.405261696049064,2.57944493710573e-05,0.0065775845896196,0.000453413566119828,19,40
"SERPINA7_P05543","P05543","SERPINA7",22.3151511816164,-0.522561286036276,2.69688366465325e-05,0.00685008450821925,0.000453413566119828,19,40
"ITIH2_P19823","P19823","ITIH2",26.1241096087256,-0.853747738776423,2.88117496880176e-05,0.00728937267106846,0.00045590356859275,19,40
"THBS1_P07996","P07996","THBS1",22.6942464603028,-1.30452843148226,3.77507978791e-05,0.00951320106553319,0.000564164701637661,19,40
"ITIH1_P19827","P19827","ITIH1",24.9234079318199,-0.730106609306557,4.15056661278979e-05,0.0104179221981024,0.000587632852021291,19,40
"F11_P03951","P03951","F11",21.512204757631,-0.47337624712077,5.4581567747988e-05,0.013645391936997,0.000734122086210438,19,40
"APOA1_P02647","P02647","APOA1",29.070393815273,-0.793029573913343,6.07865236072949e-05,0.0151358443782164,0.000778646421445825,19,40
"F13B_P05160","P05160","F13B",21.5847141331073,-0.504145461526869,8.20035131449942e-05,0.0203368712599586,0.000966720280253909,19,40
"CFL1_P23528","P23528","CFL1",20.3011890696226,-1.41696230316232,8.26563808395536e-05,0.0204161260673697,0.000966720280253909,18,37
"SERPINC1_P01008","P01008","SERPINC1",26.2025988610994,-0.333694322093547,9.37613208678648e-05,0.0230652849334947,0.00105090813806065,19,40
"BCHE_P06276","P06276","BCHE",21.8034303541429,-0.700183902521395,0.000110743197076215,0.0271320832836727,0.00119159680054008,19,40
"PF4_P02776","P02776","PF4",21.3984938373057,-1.1781549071371,0.000116757198083814,0.0284887563324506,0.001207987934021,18,40
"LYVE1_Q9Y5Y7","Q9Y5Y7","LYVE1",19.2111072787533,0.768672115076892,0.00015072942878603,0.0366272511950054,0.00141317140922094,19,37
"GPX3_P22352","P22352","GPX3",22.4185176891463,0.42590936459897,0.000151670058938374,0.0367041542630865,0.00141317140922094,19,40
"ATRN_O75882-2","O75882-2","ATRN",22.482214237888,-0.536711967682078,0.000154250890205491,0.0371744645395233,0.00141317140922094,19,40
"A2M_P01023","P01023","A2M",30.0082884915417,-0.464110080523295,0.00015760275939267,0.0378246622542407,0.00141317140922094,19,40
"PLG_P00747","P00747","PLG",26.5365477238179,-0.436823059153475,0.000193364631856696,0.0462141470137504,0.00167790599901456,19,40
"HRG_P04196","P04196","HRG",25.319830598857,-0.710452783240856,0.000204391900746388,0.0486452723776402,0.00171816941564932,19,40
"FETUB_Q9UGM5","Q9UGM5","FETUB",21.8632018942816,-0.845316545591916,0.000231474368894224,0.0548594254279312,0.00188686682522868,19,40
"KNG1_P01042-2","P01042-2","KNG1",26.8047466338115,-0.306858606356454,0.000290316204751846,0.0685146243214356,0.00226054733933703,19,40
"CAMP_P49913","P49913","CAMP",20.1871870136092,-1.08719874587665,0.000301534217755697,0.0708605411725889,0.00226054733933703,17,40
"GPLD1_P80108","P80108","GPLD1",21.0417405926042,-1.05374540048721,0.000302679756116661,0.0708605411725889,0.00226054733933703,19,40
"C8B_P07358","P07358","C8B",23.162380965983,-0.499839475421596,0.000310930303180187,0.0724467606409835,0.00226054733933703,19,40
"LBP_P18428","P18428","LBP",21.8524765190193,1.04724312934358,0.000355557399468858,0.082489316676775,0.0025169721172927,19,40
"C8A_P07357","P07357","C8A",24.0428667633185,-0.438759649327029,0.000397278398301031,0.0917713100075381,0.00269602595105453,19,40
"IGFALS_P35858;P35858-2","P35858;P35858-2","IGFALS",22.4463058037676,-1.05997536277368,0.000400896052201417,0.0922060920063258,0.00269602595105453,19,40
